writer
Bill Marsilii
Christopher Paolini
Milan Trenc
Matt Greenberg
Scott Alexander
Larry Karaszewski
Halsted Welles
Neil Gaiman
Daniel Pyne
Glenn Gers
Mark Steven Johnson
Jon Bernstein
Michelle Bochner
Nathan Greno
Aurian Redson
Joseph Mateo
Shirley Pierce
Paul Bernbaum
Aron Warner
John Glenn
Travis Wright
Hillary Seitz
Dan McDermott
Beau Thorne
Sam Lake
Henry Selick
Lynn Barber
Nick Hornby
Diablo Cody
Alexander Key
Billy Ray
Paul Abbott
Robert Venditti
Brett Weldele
Craig Rosenberg
Jee-Woon Kim
Wes Anderson
Olatunde Osunsanmi
Terry Robbins
Spike Jonze
Maurice Sendak
Martin Booth
Rajiv Chandrasekaran
Lisa Cholodenko
Stuart Blumberg
Peter Schink
Matt Reeves
John Ajvide Lindqvist
Tim Sullivan
Wesley Strick
Stephen Schiff
Stanley Weiser
Jesse Peretz
Evgenia Peretz
David Schisgall
Jeffrey Reddick
Ben Zook
Hamish McColl
Todd Lincoln
Mara Brock Akil
Joel Schumacher
Howard Rosenman
Frankie Chan
Jackie Chan
Edward Tang
Stanley Tong
Matthew Spradlin
Damian Lee
Mitchell Altieri
Phil Flores
Adam Weis
Cory Knauf
Chris Millis
Susan Burke
James Ponsoldt
Chris Colfer
Ken Bruen
Jason A. Micallef
Yasmina Reza
Roman Polanski
Michael Katims
Ti West
Skip Hollandsworth
Iain Morris
Damon Beesley
William Shakespeare
Karl Mueller
Eron Sheean
John Marsden
Peter Woodward
Stuart Morse
Meir Zarchi
James Rabbitts
Taylor Duffy
Dirk Blackman
Howard McCain
Lexi Alexander
Dougie Brimson
Josh Shelov
Jerome Bixby
J.J. Connolly
Brian Nelson
Todd Field
Tom Perrotta
Brian Doyle-Murray
Douglas Kenney
Lawrence Lasker
Walter F. Parkes
Walon Green
Bernard Malamud
Roger Towne
Phil Dusenberry
Frank Herbert
W.P. Kinsella
Phil Alden Robinson
Lowell Ganz
Babaloo Mandel
Ron Howard
Tom Clancy
Larry Ferguson
Donald Stewart
Murray Salem
Herschel Weingrod
Timothy Harris
Laurice Elehwany
Vincent Ward
Daniel Waters
Chazz Palminteri
Edwin Torres
Roy Huggins
Michael Fallon
Mark Verheiden
Mike Werb
Graham Yost
Lee Batchler
Janet Scott Batchler
Ed Boon
John Tobias
Kevin Droney
Anne-Marie Martin
Leo Benvenuti
Steve Rudnick
Susan Gauthier
Bruce Graham
Eric Tuchman
Erich Kästner
David Swift
Nancy Meyers
Charles Shyer
Robert Bloch
Joseph Stefano
J.D. Zeik
David Mamet
David Self
Shirley Jackson
Arturo Pérez-Reverte
John Brownjohn
Enrique Urbizu
Glen Morgan
James Wong
Jessica Bendinger
Ryan Rowe
Ivan Goff
Ben Roberts
Joanne Harris
Robert Nelson Jacobs
Jim Herzfeld
Catherine Ryan Hyde
Helen Fielding
Andrew Davies
Kristine Johnson
Sara B. Cooper
Michael Colleary
Simon West
Patrick Massett
John Zinman
Alejandro Amenábar
Owen Wilson
Duane Adler
Cheryl Edwards
Marv Wolfman
Gene Colan
Bill Condon
Bob Fosse
Fred Ebb
Maurine Dallas Watkins
Tom Brady
Rob Schneider
Max Allan Collins
Richard Piers Rayner
Douglas J. Eboch
C. Jay Cox
William Douglas-Home
Jenny Bicks
Patrick O'Brian
Peter Weir
Dean Georgaris
Kim Henkel
Tobe Hooper
Buzz Bissinger
David Aaron Cohen
Peter Berg
Chris Van Allsburg
Scott Aukerman
Sean Bishop
BJ Porter
David Soren
Lona Williams
Mort Briskin
David Klass
Channing Gibson
Charles Belden
Steve Bencich
Ron J. Friedman
Ron Anderson
Sara Parriott
Josann McGibbon
Sandra Tsing Loh
Carlos Grangel
Vince Locke
Josh Olson
Matt Johnson
Adam 'Tex' Davis
Rob McKittrick
Anthony Hines
Dan Mazer
Peter Gaulke
Gerry Swallow
Jim Hecht
Ed Decter
John J. Strauss
Mark Gibson
Philip Halprin
Bill Wolkoff
David Collard
Lloyd Taylor
Steve 'Spaz' Williams
Susannah Grant
Steve Niles
Ben Templesmith
Jerry Seinfeld
Spike Feresten
Barry Marder
Andy Robin
Chuck Martin
Tom Papa
Steven Knight
Chris Weitz
Philip Pullman
Jeff Rendell
Rob Cotterill
John Davies
Jason Eisener
Gregory Poirier
Matt Groening
Al Jean
Ian Maxtone-Graham
George Meyer
David Mirkin
Mike Reiss
Mike Scully
Matt Selman
John Swartzwelder
Jon Vitti
Joel H. Cohen
John Frink
Tim Long
Michael Price
Sam Simon
Toni Ann Johnson
Karen Barna
Maurice G. Dantec
Mathieu Kassovitz
Éric Besnard
Joseph Simas
Dick Clement
Ian La Frenais
Neil Marshall
David Loughery
Howard Korder
Don Roos
John Grogan
Lorene Scafaria
Rachel Cohn
David Levithan
Joseph Kwong
Paula Mazur
Wendy Orr
Henry Gilroy
Steven Melching
Scott Murphy
Bryan Bertino
Greg Mottola
Greg DePaul
Casey Wilson
June Diane Raphael
Christopher Gore
Hoyt Yeatman
David P.I. James
Cornelia Funke
Eric Warren Singer
John Godey
Robert Orr
Michael Spierig
Peter Spierig
Susanne Bier
Anders Thomas Jensen
Ricky Gervais
